replySeq,title,name,content,memberId,memberIcon,memberUrl,memberDomain,good,bad,site,email,ipAddress,offset,location,isMobile,deleteReason
40896076,"권영진 대구시장, “대구·경북 특별재난지역 선포 요청” ",쥐구멍에도볕들기는 개뿔,"재난 기본소득???? 총선용 현금살포라고 니네 당에서 까대더라 니네당에가서 징징거려라...
근데 이건 신천지 나오면 제대로 알리지도 않고 어버버거리면서 지할일은 안하고 맨날 정부에다 뭐 해달라고 징징거리냐?",109366360937981285054,https://lh3.googleusercontent.com/-cxApCGzKm2w/AAAAAAAAAAI/AAAAAAAAAAA/AKF05nDtH9T_CXAvYtznsApKrrGchvrc9A/photo.jpg,https://plus.google.com/109366360937981285054,google_plus,0,0,http://www.newsis.com/view/?id=NISX20200311_0000951202,,106.244.18.150,1,South Korea,0,
40895799,"권영진 대구시장, “대구·경북 특별재난지역 선포 요청” ",-,또라이 쉐이 아니가?,119502706,https://ssl.pstatic.net/static/pwe/address/img_profile.png,http://blog.naver.com/kcy9769,naver,0,0,http://www.newsis.com/view/?id=NISX20200311_0000951202,,106.243.28.90,1,South Korea,0,
40895567,"권영진 대구시장, “대구·경북 특별재난지역 선포 요청” ",왕십리 하하,재난기본소득....자한당인지 미통당인지에서 결사 반대 하던데...정부에 요청할게 아니라 니네 편 부터 부탁하세요;,233757044,https://pbs.twimg.com/profile_images/378800000458627558/b04d1c9d82997b652e4844c3d34607e5_normal.jpeg,https://twitter.com/hyuk70,twitter,0,0,http://www.newsis.com/view/?id=NISX20200311_0000951202,,58.140.102.50,1,South Korea,0,
40895668,"통일부 ""개성공단 마스크 생산, 당장 추진하긴 어려워""",tank****,밉지만 북한 터지면 더 어려워 집니다. 시간이 관건인데 또 미미적 거리지 마시고 바로 추진 하시길 바랍니다.,37542010,https://ssl.pstatic.net/static/pwe/address/img_profile.png,http://blog.naver.com/tank2561,naver,0,0,http://www.newsis.com/view/?id=NISX20200311_0000951199,,182.213.29.238,1,South Korea,0,
40895593,"통일부 ""개성공단 마스크 생산, 당장 추진하긴 어려워""",그저그런놈,"허구한날 하는 말이 현실성 어쩌구 저쩌구.그러고나서 나중에는 뒷북치기.안쪽팔리니?
야 이런 대안이 국민들에게서 나와야겠냐.따박따박 월급 안정적으로 받으니 급한게 없지?
국민들은 하루가 피 마르고 급한데.
니네가 낸 제안은 무조건 밀어붙이고 국민제안 무시하고.
좋은 제안은 가장 빠르게 검토하고 타당성 있으면 진행 해 봐야지.",e08c566abba1c0a5d9c8835b97eb99284d3b19aa5bdd45e93529fafd8b49a12d,https://ssl.pstatic.net/static/pwe/address/img_profile.png,http://blog.naver.com/rnjs5979,naver,0,0,http://www.newsis.com/view/?id=NISX20200311_0000951199,,49.166.200.199,1,South Korea,0,
40895261,주변 마스크 판매 알려주는 알리미 앱 서비스 시작(종합),심연의낙루,"알리미 앱에서 직장 근처 약국에 9시 52분에 입고 되어서 ""충분""이 떠 있는 것을 보고
직장 상사에게 양해를 구해 10시 17분에 도착했습니다.

너무나 어이가 없는건.
마스크 있냐고 물었더니 약사가 엄청 짜증을 냅니다.
아침부터 마스크만 찾아서 자신들 영업도 못했다구요.
그러면서 나가랍니다.

화도 났지만, 한편 그럴수도 있겠다 마음을 추스리고 회사로 복귀해서
다시 알리미를 켠 순간 ""충분""이던 그 약국이 ""부족""으로 변해있더군요.

얼마나 욕이 나오는지 모르겠습니다.
그렇겠죠.
동네 약국은 다~~ 동네 장사니 안면 있는 동네사람들 먼저 챙겨줘야겠죠.

그러면 ""공적 마스크""는 공급을 안해줘야 맞는거 아닌가요?
지네 장사위해서 헐레벌떡 달려간 사람한테 짜증이나 내고, 나가라고 요구하는게 
""공적"" 물품 지급 대상이라니요. 정말 욕이 나옵니다.

알리미 앱에서 뜨기만 하면 뭐합니까.
어차피 사지도 못할건데.",ef9001f6d27c016ad64854a96425d3e79477f142151050a7e961e6da64d2ebcc,https://ssl.pstatic.net/static/pwe/address/img_profile.png,http://blog.naver.com/tinky21c,naver,0,0,http://www.newsis.com/view/?id=NISX20200311_0000951057,,125.189.227.36,1,South Korea,0,
40896017,제주 다녀간 서울 확진자는 구로구 콜센터 직원…도민들 '경악',렘브란트,확진 받은사람이 여행을 ....헐,14890365,https://ssl.pstatic.net/static/pwe/address/img_profile.png,http://blog.naver.com/223sua,naver,0,0,http://www.newsis.com/view/?id=NISX20200311_0000950933,,49.161.154.199,1,South Korea,0,
40894558,"도쿄올림픽 집행위원 ""올림픽 무산되면 2년 연기가 최선""",구만리,한번취소는 영원한 취소가 정답이다.,1082790,https://ssl.pstatic.net/static/pwe/address/img_profile.png,http://blog.naver.com/be086449,naver,0,0,http://www.newsis.com/view/?id=NISX20200311_0000950668,,121.140.146.168,1,South Korea,0,
40894045,"도쿄올림픽 집행위원 ""올림픽 무산되면 2년 연기가 최선""",몽마르지롱,나가리 ! 나가리가 최선이다 !,3511783,https://phinf.pstatic.net/contact/20190905_45/1567635923422bzQHw_JPEG/image.jpg,http://blog.naver.com/nations2,naver,0,0,http://www.newsis.com/view/?id=NISX20200311_0000950668,,121.174.209.226,1,South Korea,0,
40893752,"도쿄올림픽 집행위원 ""올림픽 무산되면 2년 연기가 최선""",발톱,선수들은... ㅠ,cea0a1e344ad8c8ffb4adc57688f0ae9279afee077da3109d1d3e1c42566f00a,https://ssl.pstatic.net/static/pwe/address/img_profile.png,http://blog.naver.com/koguma34,naver,0,0,http://www.newsis.com/view/?id=NISX20200311_0000950668,,211.217.180.190,1,South Korea,0,
